content,score
sangat bagus,5
Sangat memuaskan,5
ini gimana ga bisa update,2
keren,5
Jelek banget tampilan pengikut. Apaan gak ada keren kerennya. Gue lebih suka ig yg duluu.,1
makin parah krn musik suka tiba2 ga ada suara,1
Lumayan,2
Bgus bgt,5
Bagus banget,4
"Sekarang Napa sihh Ig jadi anehh saya punya akun rada banyak salah satu akun saya tiba' GK bisa memuat apapun sama sekali mulai dari reels, postingan, akun dan lain' giliran saya berpindah akun bisa anehh saya lagi enak' ngobrol di akun ituu eror GK bisa memuat beranda akun dan lain'. Tolong dongg pihak metaa benerin kekk kek dulu lagii GK lucu platform paling berpengaruh di dunia kek gini GK lucu",1
👍🏻👍🏻👍🏻👍🏻👍🏻,5
kenapa reels nya gabisa di scroll ya? padahal jaringannya lancar dan HP nya engga ngelag,2
Bagus poll instagram sekarang wellll,5
Bgus dan nyaman,5
💖💝💖aku suka,5
good aplikasi,5
"aplikasi Instagram ini bagus, banyak filter nya,templat nya bagus.aku kasih bintang 5 nihh.",5
bagus sekali,5
MDito Ramadani,1
Kenapa klo simpen efek tuhh ga ada jadi klo buat video mau di simpan ga ada suara nyaa,2
bagus,5
Sarana berbagai untuk kebaikan,5
APLIKASINYAA SUKAA NGECRASH WOK😡😡😡😡😡😡😡😡😡,1
Tolong tingkatkan lagi sistim keamanannya dan lebih banyak perbaikan untuk kedepannya.,3
Sangat mnyenangkan,5
Bagus,5
semangat berinteraksi melalui apk ini semangat terusssss,5
Sangat bermanfaat,5
Pengalangan,2
best aplikasi,5
Isi BBb,4
Bagus,5
Pokok nya sukaaa bgttt,5
Keren,5
"Maff kn kenapa ya ko setiap orang mau login Ig sy atau sama,, mau ke login Ig ny satu sama Len tidak bisa ya , permasalahan nya kata nya nama tidak di temukan,atau not user faund padahal namanya Sudah BNR tolong benarkan kak",1
Knapa sekrng klok udh buat cerita g msuk? Eror tolonglh di perbaiki,2
Kreen,5
Guddd,5
"kesel banyak kali lagu yg hilang, jadi sorotan ku kosong ga ada lagunya, ngapain si di hapus hapus 😠",1
Bagus aplikasi ini bisa membantu mengenal atau berkomunikasi seluruh rakyat indonesia,5
Lancar jaya,5
Story yang sudah diarsipkan gabisa dibuka lagi (cerita tidak tersedia). Tolong perbaiki bug nya🙏,1
"Jelekkk jadinyaaa, ciri khasnya instagram ituu feed nya 1:1 apaan sekarang jadi panjang gituu, mana following nya tulisanya jadi rata kiriii , jelekkk POKOKNYA IG SEKARANG MAKIN ANEHH ,JELEK ga jelas banget update nyaa, fitur fitur yang udah jadi ciri khasnya ig juga ilang, ga jelass sumpah",1
Lupa pw makin kesini makin susah bngt padahal apa apa masih ada yg di butuhin skrng rumit mana kebanyakan error trus,1
aplikasi sangat bagus,5
Sangat membantu informasi,5
"tolong buktikan fitur ""lihat siapa saja yang kita ikuti tetapi tidak mengikuti balik""",5
"aplikasi sering error,sering keluar sendiri,akunn pertama ku katanya kata sandi nya salah trs padahal waktu aku nulis kata sandi itu aku tulis juga di bukuu yang pasti udah bener,trs sering mati sendiri aplikasi nyaa,ngelag sendiri, perbaiki lagii dong piyee sihh inii bikin mood rusak❗",1
Efek terlalu medok,5
Keren,5
Ig ini sangat bagus tapi pas mu di buat akun baru itu malah katanya ada yang sedang di perbaiki,5
"baguss sii, tpii aku gak bisa apus lagu yg ada di bio",5
Gimnh sih ko ga bisa login lewat fb,1
"Akun saya di tangguhkan ,gimana cara pemulihannya",5
"instagram lg kenapa sih? kadang mo live di room temen slulu gak bisa dan slalu gambar muka aku item gelap , tlong yaa instagram tlong di bnerin lg kea ny eror nich instagram.",2
"Bug nya makin parah, kadang suka Gamau di buka aplikasi nya dan kadang juga lemot padahal jaringan bagus, kalau lihat snapgram kadang hitam semua, dah kacau bgt",1
Menta.pilem.porno.seek.swal.dari cina dan Jepang 0,5
INI KNPA GBISA UPLOD VIDEO DRI GALERI DEH,4
Pertahankan yg sudah baik,5
Sangat membantu,5
Aku suka ig tpi susah masukkin nma nya,5
Intragam ini sangat seru ada efek banyak,5
Bagusan ini dari pada pacebook,5
Bgusss saya suka,2
bagus,4
Untuk pihak developer tolong untuk kedepannya di adakan fitur edit komentar biar ketika kita salah typing tidak perlu susah-susah menghapus dan typing ulang komentar kita agar lebih mempermudah untuk mengedit komentar yg salah.. Percuma kebanyakan update tapi tidak berguna buat apa,1
Cool app but i guess this app is made by or for nazis because i can't even speak the truth without getting banned for commenting for a few days,5
Hahaha...,5
"Status yang suda terlihat diatas, terlihat terus",1
Ig ku knp gbs tag orang d komen anjinnkk,2
bagus,5
masalah yang terlalu banyak,2
good,5
"Masyaallah,bagus bgt apps nya gk bkn bosen",4
"Tiba-tiba ""Tidak Bisa Memuat Kabar Beranda""",1
Suka sebel kalau lagi error.. Beberapa bulan ini suka error trs,3
Senang banget 😘🥰,5
"Aplikasi berbagi foto dan video dilengkapi dengan fitur Stories, Reels dan Direct Message. Mudah digunakan, cocok untuk interaksi sosial, hiburan dan juga promosi bisnis",5
So far so good..HARAP PERBAIKI APA YG BANYAK DI KOMEN TENTANG PENINGKATAN INSTAGRAM,4
Muhammad ifan,5
Good,5
"Apk gaje kocak"" sekelas Ig aja masih banyak yg eror tolol",2
baik,3
Aku sangat suka aplikasi ini,5
Tak bisa mengupdate,1
Kemudahan menggunakan aplikasi dan jangkauan yang luas,5
Bagus banget sampe ketemu wau animation,5
Have fun and funny,5
Bisa buat konten,5
"Aplikasinya tiba"" keluar saat baru dibuka",1
"gak bisa login ,padahal email sandi juga udah benar",5
woiii...ig kenapa eror cuk,1
Mantap kali banyak,5
ig GG,5
"2 times my main account logged out by itself, fix the bug immediately.",2
"tolong kurangi bug nya, terimakasih",5
Bagaimana cara dapatkan kembali akun saya yg telah ke hapus permanen,4
Bagus,5
baru,4
"Ini gimana kok saya ga bisa masuk ya terus saya apus ig lupa pw pas di masukin ana ig nya tulisan masalah terus,ig makin kesini makin ga jelas tolong lah anjir gimana cara masuk nya",1
Kok punya sya gk ada buat menambah kan music nya y,5
Saya penasaran saya membuat akun publik tapi kenapa hanya sedikit yang melihat vidio saya,5
Vik Kalau ini aplikasi bagus banget,5
sangat menyenangkan dan mudah menemukan yang sedang dicari.,5
Tulmantul,4
Mantap,5
Sangat bagus,5
Ig sekarang parah banget banyak bug nya kadang suka lag,2
Bagus 😎,5
Tolong bantu saya membuka akun saya,5
"Min tolong lah benerin saya baru download ini instagram, tapi pas saya pencet buat akun baru, tulisannya halaman bermasalah, padahal jaringan aman aman aja, udah dicoba HP lain juga sama aja, tolong benerin, kalo udah bener ta kasih bintang 5",1
ok bingit,5
Karna dia tidak mau bikinkan saya akun,1
Kenapa pas saya bikin story ko enggak ada ?? Aneh Tolong diperbaiki dong,2
mantap sekaliiiiiiii,5
Komentar gw di ban sampe tanggal 31 trs udah tanggal 1 masih g bisa,1
keren,4
Bagus,5
Bagus sekali...saya sangat suka dengan Instagram ini..bisa membuat berbagai Poto dan vidio..saya sangat suka sekali🥰👍,5
it's really good to make content.,5
Sangat bermanfaat bagi saya,5
Sangat bermanfaat,5
Nailaafifafitiya,5
sangat memuaskan,5
"Ig nya gak bisa di buka, pdhl udh nunggu lama eh pas udah ke download gak bisa di buka",1
Baguss bngettt😍😍😍😍,5
👍👍👍👍👍,5
jelek bgtttt tiba tiba ig ku di nonaktifkan karena penipuan dan penggelapan uang padahal aku transaksi apapun ngga pernah. akunku dinonaktifkan permanen pdhl arsipku dr 2022 disana semua!!!,1
Saya senang sekali,5
sering kejadian bug gajelas,2
Sukses selalu PK Kaunang.,4
😎😎😎😎😎😎😎😎😎😎😎,5
efek/filter yg udh saya unduh tiba²hilang dan sudah tidak bs dicari,1
Nice bagus,5
Baik,4
Mantull,5
Bagus gak lemot,5
Media inspirasi,5
Vina rossa km bkn?,5
Sangat memudahkan saya untuk membuat akun baru,5
bagusss,5
sangat bagus,5
Aku gak bisa pakai filter,2
"SERUU BNGTT,bisa telponan,chatan. Dan itu tuh kyk seru aj gitu g ad bosan2-ny",5
tolong lah banyak iklan slot pas lagi liat sg cok,1
Bagus aja,5
good,5
"WOY GW GK SALAH APA² KENAPA KENA AJU BANDING, UDH 1 BULAN LEBIH INI BELUM BALIK AKUN GW Id:milhamfazariw Dibaca woy BLOK",1
"Sangat baik, hanya ad beberapa konten yg mengganggu dengan maksud penipuan.",5
"Tolong dong diperbaiki, saya tidak bisa komen di akun lain padahal saya sudah update.",2
Mantap,4
Kalian harus kasih reting 5 karena ni aplikasi bagus bangett akuu juga dari dlu pake gk knp knp yg ada makin di uplod makin bagus tapi sayng nya gk ada waktu foto kayak dlu tpi ggpp tetep baguss kok wajib di dowlod dan kasih reting 5 yh gasy karenaa bagusss heheh,5
😘,5
makin enak aja pake sosial media ini,5
aplikasi yang sangat bagus,5
Good,5
The best media social,5
alhamdulillah dapet pelajaran lagi dari ig ini...,3
Mantap,5
"Mantap, suka bener sama fitur flipside",5
Good,5
Bgus,5
Padamu,1
Awesome,5
saya tidak bisa masuk ke instagram,1
Mantap jadi bisa dapat pacar,5
ig eror gabisa login lama lama saya kesal tolong perbaiki padahal jelas jelas sandi benar tapi kenapa selalu salah ketikan login tolong di perbaiki saya sangat kecewa,1
good,5
Kocak untuk ukuran postingan jangan di rubah jadi jelek,2
Sangat bagus,5
Bikin semangat terus,5
"bagus,keren bagus",5
Apk Ig sekarang gak jelas tiba tiba akun di blokir udah bikin berapa kali tetep aja di blokir,1
Udah bagus sih tapi kok gak ada filter ignya ya terus kalo abis di kirimin filter dari seseorang GK bisa di coba,4
Mantap,5
Keren,5
Pengikut banyak,4
Bge,3
Good,4
"Stop ngasih liat konten ga senonoh di explore ig dan reels, ga semua orang mau liat kek gituan, udah reset explore juga tetap muncul, berkali kali report&block akun dan pencet ""not interested"", cuma ga ada hasil samsek, intinya algoritma nya hancur parah.",1
mudah kan lagi untuk mencari fitur di story,5
Sangat bagus,5
Gimana sih kok ga bisa beralih akun bug muli,2
Sangat bagus,5
"Ada bug yg bikin kesel.. di akun utama gak bisa post 2 foto landscape bisa nya cuma 1.. klo 2 jadi kepotong, gak ada pilihan landscape/kotak.. sedangkan di akun yg baru bisa milih tuh format fotonya landscape/kotak, bisa landscape dua duanya fotonya... plis benerin bugnya, udah dari bulan Desember ini bugnya tp belum dibenerin",1
gaji saya blum di bayar,5
this is so god,5
instagram makin ketinggalan.. membuat konten seperti percuma krn susah. di tonton sama org banyak..,1
"Bagus,sedikit bug,dan keamanan kuat.Pertahankan..",5
Sip ini mah,5
Ok,5
good sosmed!!!,5
bagus baik tapi postingan nya sesat,4
good apps,5
Ayu,5
Patah patah apk mu Instagram!,5
tolong!! knp ig sya ga bisa di update!! mohon bangett!!,5
"Bagus banget, tpi knp klo batre saya lowbet, trus pas pen foto di ig ny, layar ny jadi hitam ya?",4
Perbaiki bug woy,2
Ok,5
mantap,5
Terlalu banyak iklan judi,4
ok,5
Terimakasih instagram 🔥🔥🔥🔥🔥,5
Kerennnnn bantu trs iklan ku ya IG,5
Sangat puas,5
Sangat tidak memuaskan hati,1
good,5
Baik,5
"Instagram sekarang sudah buruk,hati hati kalo mau iklan kadang terjadi bug,sudah di bayar tapi tidak masuk dan tidak di proses sehingga di suruh bayar lagi, tolong meta di perbaiki,kalo lama lama begini terus orang rugi.,😡😡",1
Sangat berguna untuk nusa dan bangsa,5
"I ask the creator of Instagram to make all Instagram updates evenly distributed, not just on one",1
bagus banget,5
Jelek tolol bodoh,1
"Baru di upgred tapi,gk jelas disitu tulisannya tambahkan musik di profil,tapi tetap hilang gk bisa di tambahkn,terus avatarnya juga gk bisa diliat pas saya coba pakai akun lain.satu lagi Instagram kada emoji nya keluar bendera Lgbtq,",1
sekarang udah lumayan oke update'annya saya suka tapi lebih dikembangkan lagi ya,4
semoga akun saya bisa centang biru,5
Aplikasinya mantap buat ngedit poto,1
Paan ni woyy Bru di update ko mlh ngga bisa di buka sama sekali,2
Ok,5
efek filter yg terlihat indah,1
Cukup baik nyaman,5
baik,5
Bagus,5
Sangat membantu sekali,5
Ok,5
Nice,5
Gak bisa di update,1
Goodddddddd lucckkk,5
"Saya kasih 5 bintang karena Instagram sekarang bags, jadi kalian juga harus download Dan lihat lah berbagai macam tantangan Di sna.",5
Mantap,4
Puas bngt semoga makin bnyk fitur terbarunya 🥰🥰,5
"fitur gembel di update bukane makin canggih malah makin makin dah, mau buat hapus sg yang di arsip malah gabisa', tolong ya di perbaiki yang bener jangan asal-asalan",1
"ini kenapa ya, Instagram saya gabis dibuka?",5
Anjai,5
Pengalaman ku saat di ig 3nak seru tapi pengikut ku cuman sedikit jadi aku kasih bintang 3 deh maaf ya ig,3
Keren,5
membuat saya bahagia,5
"gimana sih Instagram saya kena tangguh kan, ga ada hujan ga ada badai tiba tiba banget, ga bisa gitu dong asal tangguh kan kalo misal yang ditangguhkan itu orang yang bisnis bagaimana dengan bisnis mereka, emg dasar ga punya hati 😠😠😠, orang download Instagram itu karna seru dan asik terus bisa berkenalan sama orang² kalo kaya gini ga seru ah Instagram 😠😠",2
Bayi,5
Knpa saya tdk bisa melakukan siaran langsung di akun Instagram saya?,1
Memuaskan,5
super bagus banget,5
Jos,5
sangat Memuaskan,5
"Tolong ka kenapa saya setiap buka ig hanya sebentar lalu kembali ke menu hp, apakah eror",4
lumayan bagus sihh,4
Nice,5
Biasa saja,2
Ok banget,5
Good,5
Dislaik utk ig 2025 👎🏻👎🏻,1
bapak Aing sagala bisa..bisa an lah naon bae,5
Keamanannya lebih terjamin,5
Baik,5
Saat ingin simpan video yg dapat tersimpan cuma berdurasi 15 detik saja padahal lagu nya belum habis jadi durasi ny jadi pendek,3
too many bugs please pay more attention,1
"Makin kesini makin agak lain instagram ini, pertemanan dibatasi terusssssssss, udah dilaporkan masalah yang sama berulang² masih aja gak di perbaiki, saya gak suka instagram ini, mending copot aja, nyesel download nya, gak bisa interaksi sama akun² baru lainnya.",1
"aplikasi gajelas, cuma salah perkataan terus hp gua di bajak malah ga bisa masuk ke ig nya, tolong lah di mengerti",1
Apk yg bagus,5
Kenapa sekarang setiap post igs selalu jadi buram :( jadinya kan susah.. tolong diperbaiki lagi ya semua fiturnya agar tidak buram.,4
Mantaf,5
Bagus,5
"bagus, tapi kurang emoji iphone",4
Saya akan terima,5
bagus sekali. mmudahkan berbisnis,5
ini aplikasi gimana sih masa lagi asik main game malah buka sendiri,1
Baguss,5
Gua kasih bintang 4 dulu klau bgus,4
Sangat bagus sekali dan mudah di pahami,5
saya suka aplikasi ini,5
"aplikasi nya bagus,cumaa kenapa yaa baru beberapa minggu ini filter Ig nya yang bagus"" pada ilang semua,terus di cari nama filter Ig nya gaada",4
"Kata nya di android udah bisa kirim gif di komentar-!?, tapi kok di saya gak ada? Padahal udah saya update tetep gak ada!!. Tolong di perbaiki ya!!!",2
Mantap,5
sangat bagus dan menghibur,5
Aplikasi ini sangat penting,5
Ini kenapa ya buka arsip video malah tidak bisa di putar?,1
Sangat baik dan memuaskan,5
keren,5
Istagram sih kesayangan,5
𝔸ℕ𝔻𝕚𝕜𝕒,5
"Mantap, semoga terus di tingkatkan",5
Ok,5
akun saya tiba tiba-tiba ditangguhkan karena apa ya? dan bagaimana cara memulihkannya? terimakasih,5
Keren bgt🥰🥰,5
Lovve,5
mantap,5
Not fair anymore,4
bagus banget bisa foto,5
Makin update makinn nge Bug... piye sih,2
knp ga ada fitur coment story,3
aplikasi sangat bagus,5
terimakasih aplikasi nya kak...,5
👍👍👍,1
Bagus🐯,4
"Mohon maaf, saya tidak bisa upload file dari kartu SD saya, kenapa ya?? Tolong diperbaiki",2
"Sekarang instagram makin aneh gua capek2 bikin konten sampai malam2 giliran posting yg like cuma 5 kalo ga 10 itupun cuman temen padahal follower udah 25k dulu padahal rame likenya sampai ribuan, seolah-olah akun saya ga kelihatan gimana ini. Udah gua coba nonaktifin akunya sampai satu minggu tetep ga berubah. Lama2 jadi pingin pindah tiktok aja yg rame.",1
Bagus',4
Bagus,5
great apps,5
GAK BAGUS DAN GAK BANGGA,1
instragram sebagai media utk menyimpan kenangan sebagai cerita yg bisa dibuka kapan saja..dan instragram sebagai media terbaik utk membagikan kegiatan baik urusan pek.bisnis maupun kegiatan dirumah dan dimanapun berada....,5
Nice,5
Ok menarik,3
sangat baik dan sangat memuas main skrol video instagram,5
ngeleg mulu babi,1
apk bagus cuma banyak bug,5
Mantab polll,5
terbaik,5
Semoga lancar,5
"perbarui, aku gak suka instagram sekarang jadi private terus!!! kembalikan semula!!",5
tolong min ko akun saya gak bisa di ubah dari privat ke publik ya,3
Bagus,2
Bagus,5
Kaga jls,1
Bagus,5
Aplikasi yang ga bosen2😍,4
Aku kasih bintang dua soalnya kok Ig nya nggak bisa live ya dia ada bacaan anda tidak memenuhi syarat,3
tolong kembalikan akun Instagram saya. saya tersuspend tanpa alasan yang jelas.,1
Kenapa ngeleg banget njing,1
Nyaman pakainya.,3
Lebih unggul daripada tiktod,5
"sangat berguna sekali buat saya, bisa terhub dengan teman atau keluarga yg jauh.",4
Terbaik,5
Mantap,5
bagus,5
Kereen,5
"ig sekarang banyak iklan judinya, saya jadi keganggu",3
Bingung terinstall tapi dimana ikon nya?,1
Instagram membantu karena dapat informasi penting di luar sanah,5
fitur nya sudah cukup puas. tapi ada 1 yang menurut saya mengganggu. yaitu akun yg disarankan ada dibagian atas/di deretan stories itu sangat menggangu. saya sudah coba klik sembunyikan pun tetap selalu ada. mohon untuk akun disarankan yg ada diatas deretan stories ditiadakan atau bisa dipindahkan. mohon segera diambil tindakan Instagram. terimakasih!,4
"My assessment is fluctuating, if at any time there is a very significant change in the sense of a downgrade, I will change it.",5
"Akhir-akhir ini update instagram jelek dan tidak merata. Aku punya 4 akun, dan yang paling kena update biasanya cuma akun paling pertama yang dilogin di aplikasi. Paling ga nyaman sama update beranda feed yang rasionya ga 1:1 lagi, malah memanjang. Ini merusak sekali penampilan beranda feed, khususnya yang akunnya makai grid. Herannya ini cuma terjadi di 1st acc, di akunku yang lain maupun akun temanku ga dapat upgrade yg sama. Mohon diperbaiki segera.",3
Banyak bug sekarang pdhl udha di update,2
Apk bagus,5
/\_/\ (°•°) (><),5
"apk nya udah bagus tapi adain ""POSTINGAN ULANG"" pliss itu perlu banget untuk gen z🙏🏻🙏🏻🙏🏻",5
Apk sangat bagus sekali,5
Banyak yang bagus tapi ngèlag banget,5
Bagus,5
Mantappp,5
Baik,5
i love Instagram ❤️,5
"tidak bisa buat akun baru, kenapa ya??",1
sangat puas,5
"Instagram kenapa fitur komentar story tidak muncul? Padahal sudah di update, nanti saya kasi bintang full kalo fiturnya sudah muncul",1
Sangat bagus,5
Tolong lerbaikin filter atau efek yang hilang,1
Aku tidak suka,1
Bagus,4
"iklan judi slot merajalela di berandaku,",2
BYON vol 4,5
"Akun saya tiba² kena banned padahal akun normal akun asli tp jarang posting, yang akun judol sama akun fake reshare video malah dipertahankan makin kesini tambah bobrok sistemnya ampe disuruh foto ktp sama vermuk aneh bgt diplatform yg cm posting foto dan video suruh foto tanda pengenal yg seharusnya cm untuk perbankan/pemerintahan",1
"media sosial pendukung genosida, tidak berperikemanusiaan, keji, laknat, sangat burukkk",1
"saya menyukai nya, sangat nangiss🫨🩷",5
Godd,5
"Masa Gak Bisa Masuk IG Si Baru Download katanya Jaringan Jelek Padahal 
Bagus!",5
Sekarang instagram jadi jelek ga seperti dulu,1
luar biasa,5
Semoga akun sya lebih banyak pengikut,5
Good,5
bahmguss lucuuu imoett,5
Keren bisa komunikasi bereng temen,5
Jedak jeduk nya di hapus,1
Sangattt bagusss,5
Bagus,3
sangat membantu untuk usaha kuliner,5
"Sangat membantu, tetapi sangat sulit menaikan followers dan like.",5
bagus,5
Sudah baik,5
Makin kesini kok makin susah Masa gak knapa2 di tangguhkan dengan alasan tidak terlihat ???,4
ttba g bisa masuk,2
Y!,4
Sangat menyenangkan dn menguntung kan saya,5
Sangat baik,5
"Susah didownlot,makin ngeselin aja deh",1
Sangat puas,5
Mantap sekali,5
Saya tidak dapat mengundang kolaborator dalam video saya,1
"Ini pengalaman saya memakai Instagram, Akhir-akhir ini Instagram sangat tidak jelas, Kenapa pada saat saya Menyoroti Cerita(Instastory) yang sudah saya Arsipkan, Kenapa Sorotan tersebut malah muncul di Cerita(Instastory) kembali?? Dengan keterangan ""Sorotan dari..."" Kenapa Instagram tidak menciptakan fitur yang memungkinkan pengguna bisa memprivasi Cerita(Instastory) pada saat menambahkan Ke Sorotan pada Arsip?",2
"Mantap,cmn ada sedikit bug ketika upload cerita malah menu ghu koneksi",5
👍👍👍,5
bug nya bukan maen,1
Sangat bagus dan terbaik,3
Kenapa tiba-tiba Instagram saya di tangguhkan,1
Sulit masuk ketika pakai nomer hp,5
"sekarang ko jadi burik banget, banyak banget bugnya, trus mau buka story pasti loadnya lama banget padahal jaringan + kuota bagus aja tuh",1
Bagus bgt,5
"tadinya aku kasih bintang 5, tapi akhir akhir ini up story musiknya loading bangett",2
Terbaik,5
Makin aneh susah banget atur foto profil,1
Kamera nya glp,2
menarik,4
Kereeennn,5
"pls lah instagram, saya mau daftar gabisa loh malah ada tulisan ""halaman saat ini tidak tersedia"" dan itu udh dr dua minggu lalu saya coba, bahkan ini saya coba install ulang tetep sama, mohon tindakannya",1
udah ku update woyy,5
Sangat membantu informasi terupdate,5
"Rating 1 ya untuk sekarang, susah di buka aplikasi nya ke hack lagi akun ku, padahal udh 5 tahun menggunakan Ig, update trus dan ga ketinggalan eh malah makin kurang ajar, admin nya kaya ga ada tanggung jawab nya serius, makin lama makin aneh. Buat developer Ig di perbaikin dong, jangan diem ajaaa yaa tolonglah perhatikan dan teliti untuk para pengguna kasian kalo kenyamanan dan keamanan nya aplikasi sebesar ini hanyalah sebatas semut, cuek bgt kek nya developer nya, udh 5 thn malah ke hack",1
Keren banget lo,5
Aplikasi ini sangat bagus 😍😍😍,5
pas buka aplikasi tiba gak bisa masuk keluar masuk keluar gitu trus,2
Bagus keren jaya jaya jaya sll ig,5
My ig my bangett,5
Ig nya enggak bisa di buat live padahal udh tak laporin masalanya tapi enggak di angep,1
sangat puas,5
Mantap bosqu,5
Good,5
if the archive is deleted instagram i give 1 ⭐️,5
Tak tambah bintang 🌟 nya,4
Terbaik,5
Wira ada aja deh,2
Baguss,5
akun saya di tangguhkan. lalu saya buat akun baru lagi setelah beberapa menit di tangguhka kembali padahal saya tidak berbuat macam macam,1
Ok,5
"pls jangann ilangin fitur arsip banyakk story/foto yang sengaja post di ig biar ga ilang, jd jangan diilangin fitur arsipnyaaa.",4
"Akun gue hilang sendiri, apk taiiiii",1
Good,5
Gagal terus mengirim pesan di akun profresioanal terdapat keterangan gagal mengirim pesan,2
seru tmbh pengetauan dan engalaman,5
Kenapa akun gua mau diblokir ? Sedangkan akun akun yang mempromosikan judi online engga diblokir. Aneh amat,3
mantap,5
Perbaiki Masalah upload,1
Aplikasi ini bikin aku pd diri,5
Ok,5
SEMOGA YG BIKIN IG INI SEMAKIN MAJU APK NYA🙂😄,5
kenapa dm saya gabisa bikin catatan padahal sudah di apdet terus menerus?,1
Keren,5
instagram ini sangat bagus untuk foto foto,5
Sangat keren aplikasi keren sekali,5
sangat bagus dan menyenangkan,5
Bagus dan menyenangkan❤,5
reels. nya ngelag ngelagg,3
bagus,5
Updet sakura tuh,3
jadi tidak jelas semua cerita yang sudah di upload hilang gitu aja di arsip,3
Setiap kali buka profil langsung nutup² sendiri,1
Gatau knp sekarang bnyak bugnya Paswod benar tapi slh kata sndi katanya.kan anehh,1
Aplikasi ini sangat bagus tidak ada kekurangan,5
"Sangat membantu,dan menghibur",4
Sangat bagus,5
Kadang suka nge-lag,4
instagram ini sangat penting karna bisa berpesan bersama teman,5
😍,5
Sangat cocok untuk,5
"uda 2x bikin akun second tapi kena ajukan banding sampe keblokir permanen, padal tidak berbaur konten/sarana negatif, baru buat akun second lagi ga sampe 2 jam kebanding lagi sampe ilang akunya, ini gimana ya? ada solusi kah",2
Kenapa ya akun ig saya gak bisa repost story orang,5
Bagus aja,4
Jd mlas main instagram...semenjak update gak bso ngpo2in memuat gambar trs yg kluar...jijik ah...shrang mkin d update mkin bgua nh mlah jd cupu😡,5
AVATAR INSTAGRAM KU MASIH YANG LAMA KENAPA BLUM KE UPDATE PUNYA TEMEN SAYA SUDAH SEMUA 😢 !!!!,4
terbaik,5
👌🙏👍👍👍,5
good luck,5
apasi anjir eror trs,1
"Kalian Aja Yg Hp Nya Kurang Bagus , Kalo Superzoom Hilang Ya Emang Terkadang Hilang , Trs Fitur Emoticon Itu Emang Sering Hilang , Jadi Sabar aja...",5
"Hello, please create a feature to lock incoming message chats on Instagram so that not everyone can read the chat. Like in the WhatsApp application. Thank you",2
aplikasi ter the best untuk komunikasi bareng teman,5
mantap,5
Bagus memuaskan sekali efek ny,1
👌😗,2
kenapa ig tidak bisa mengunduh informasi sndri skrang,1
Loba vidio bkop,5
hmmmm its goodlah,5
bagus sekali,5
"INSTAGRAM SEHAT IG GW TIBA DI BANDINGKAN PADAHAL GA PERNAH BUAT PELANGGARAN ATAU HAL ANEH GW UDA 9 TH MAIN IG INI AKUN SKRG DI BANDINGKAN SEHAT"" LU INSTAGRAM KECEWA. AUTO UNISNTAL",1
"parah, nggak senyaman dulu",1
Jos,4
"Kenapa ya Kamera Instagram tidak bisa di pakai, Mau pakai filter Nya Malah tiba tiba Gak bisa",2
pliss jangan hapuss arsip ig itu penting bngtt woyy lahh smua ku simpan dstuu biar ga ilangg 😭,4
Seru sekali,5
Lebih hemat Kouta dari pada tiktok,5
Meyenangkan,5
"Bagus karena bisa ngonten, dan berkomunitas dengan orang lain, dan pengikut kita bisa jadi fans kita juga, aku pun jadi banyak fans karna main ig ini",5
Iya,5
Cukup bagus,5
"Banyak ads yg awal videonya terlihst normal tp ditengah2 video muncul promosi judi online, banyak juga ads yg menawarkan loker tapi setelah ikuti langkahnys ternyata penipuan. Tolong dgn sangat di team ads ig lebih memfilter atau di Qc ads ads yg ada penipuan, judi online. Daaan opsi2 laporan di tolong ditambahkan kembali.",1
Yg bagus sich...mau di tmbah pringkatxa,4
Masih yang terbaik.,4
Aplikasi ini sangat bagus untuk membantu yg tidak punya aplikasi whaatsap,5
Suka.,5
bagus,5
Bagus,4
tidak bisa login,1
"untuk hp yg memorinya sedikit, mending pakai yg versi lite",4
mantap,5
Udah lebih 2 bulan layarnya putih semua!,5
Aplikasinya sangat bagus mudah menggunakannya.,4
mantap,5
Mantap,5
Bagus,5
"Hai saya dari indonesia!!,& aplikasi ini sangat bagus!!!!",5
sangat baguss,5
akun saya telah hilang di nonaktifkan oleh pihak Instagram,5
bagusss,5
Aplikasi ig sangat lengkap karna bisa ngechat dan posting video/foto. Saya suka aplikasi seperti ini🔥 trimakasih 🙏🏻,5
bisa balikn akun saya yg udh keblok.??,5
Sangat bagus tapi aku akunnya ilang terus😭😭,5
Susah d download boa rada lier ktu apk th,1
"Woy tolong dong knp akun saya diblokir trs pdhl ngga ngelakuin apa"" Aneh bgt lu kembaliin deh gausah gitu aneh bgt",3
Cukup lumayan,3
"kenapa saya roda bisa live,?? alasan ketentuan nya tidak memenuhi syarat",1
Bagusss bgtt,5
Mantap aplikasinya baguss😍,5
"kenapa si kalo mau bikin story selalu ada KESALAHAN, sering bgtttttt kaya gitu, bikin emosi aja, buat nyimpen foto pun sama, ig nambah buruk ah, percuma juga di update 👎👎👎, terus juga kenapa notifikasinya tuh keluar terus, muncul terus, padahal udah di apusin, tapi malah muncul terus, banyak juga notifikasinya, berkali-kali kaya gitu, jadi notifikasi lama sama notifikasi baru di gabung, intinya gitu deh, ig aneh bgt skrg",1
Sangat bagus👍,5
jos sih,3
aplikasi yang bagus,5
Banyak yang harus diperbaiki. Terima kasih 🙏🏻,1
ok gas,5
